,Rank,Cocoa Percentage
0,3.75,63%
1,2.75,70%
2,3,70%
3,3.5,70%
4,3.5,70%
5,2.75,70%
6,3.5,70%
7,3.5,70%
8,3.75,70%
9,4,70%
10,2.75,70%
11,3,70%
12,3.25,70%
13,3.75,70%
14,2.75,70%
15,3,70%
16,3.25,70%
17,4,70%
18,3.25,70%
19,3.5,70%
20,4,63%
21,3.5,70%
22,3.75,63%
23,3.75,70%
24,3.75,70%
25,2.75,60%
26,3.25,80%
27,3.5,88%
28,3.5,72%
29,2.75,55%
30,3,70%
31,3,70%
32,3.75,75%
33,2.75,75%
34,2.75,75%
35,2.75,65%
36,2.75,75%
37,3,75%
38,2.5,75%
39,2.5,75%
40,3.5,70%
41,3.5,70%
42,3.5,70%
43,3.5,70%
44,2.75,60%
45,3,60%
46,2.5,60%
47,2.5,60%
48,2.75,60%
49,2.5,60%
50,3,60%
51,3.25,80%
52,3,60%
53,3.25,60%
54,4,70%
55,3.75,70%
56,4,70%
57,3,70%
58,3,70%
59,2.75,70%
60,3.5,70%
61,3,70%
62,3.75,70%
63,3,70%
64,2.75,70%
65,2.75,85%
66,3,85%
67,3.25,72%
68,3.5,73%
69,3,64%
70,3.25,66%
71,3.25,75%
72,3.25,63%
73,3.25,70%
74,3.5,68%
75,3.75,70%
76,4,70%
77,4,75%
78,5,70%
79,3,70%
80,3,70%
81,3.5,70%
82,3.75,70%
83,4,70%
84,3.5,70%
85,3.5,63%
86,5,70%
87,4,66%
88,3.25,75%
89,2.75,85%
90,3.75,50%
91,3.75,75%
92,4,60%
93,3,75%
94,3.5,75%
95,3,75%
96,2.5,72%
97,2.75,75%
98,3,75%
99,3.5,70%
100,3.75,70%
101,3.5,73%
102,3.25,70%
103,3.25,70%
104,3.5,70%
105,3.75,70%
106,3.5,70%
107,4,70%
108,4,70%
109,3.75,70%
110,3.25,70%
111,3.25,73%
112,3.5,70%
113,3.5,68%
114,3.75,70%
115,3.5,70%
116,3.75,70%
117,4,70%
118,2.75,75%
119,3.25,70%
120,3.5,75%
121,3.25,72%
122,3.75,72%
123,4,72%
124,2.75,72%
125,1.75,100%
126,3.75,72%
127,3.25,72%
128,3.25,72%
129,3.5,72%
130,2.5,75%
131,2.75,72%
132,1.75,72%
133,3,80%
134,3,75%
135,3.25,72%
136,3.75,72%
137,2.75,72%
138,3.75,68%
139,3.75,72%
140,3.75,70%
141,3.75,77%
142,2.5,75%
143,3,70%
144,3.25,80%
145,3.5,70%
146,3,70%
147,2.5,70%
148,2.5,70%
149,2.75,70%
150,3.5,70%
151,3.5,70%
152,4,70%
153,3.25,70%
154,3.5,70%
155,3.75,70%
156,2.75,80%
157,3.5,65%
158,3.75,70%
159,3.25,65%
160,3,73%
161,3.25,72%
162,2.75,80%
163,2.75,70%
164,2.75,70%
165,2.75,90%
166,2.75,64%
167,2.75,64%
168,2.75,64%
169,3.5,71%
170,3.5,70%
171,3.25,70%
172,3.5,70%
173,2.75,83%
174,3,78%
175,3.5,83%
176,3.5,74%
177,3.5,74%
178,3.5,74%
179,4,73%
180,4,72%
181,3.75,72%
182,2.75,55%
183,3,64%
184,3,88%
185,3.5,72%
186,4,72%
187,3.25,70%
188,3.25,74%
189,3.5,64%
190,3.5,72%
191,2.5,76%
192,2.5,76%
193,2.5,78%
194,3.25,86%
195,3.5,72%
196,3.25,75%
197,3.75,70%
198,2.75,65%
199,3,70%
200,3,78%
201,3,75%
202,3.5,65%
203,3.25,75%
204,3.5,65%
205,3,71%
206,3.5,75%
207,3.75,68%
208,3,70%
209,2.75,70%
210,2.75,70%
211,3,70%
212,2.75,70%
213,3.5,82%
214,2.75,72%
215,3.5,82%
216,2.75,75%
217,3.5,75%
218,3,75%
219,3.5,70%
220,3.75,70%
221,3.5,75%
222,4,75%
223,3.25,75%
224,3.75,65%
225,3.5,75%
226,3.25,75%
227,3.5,75%
228,3.5,75%
229,3.5,75%
230,3.75,75%
231,4,75%
232,4,75%
233,3.5,75%
234,3.25,75%
235,3,75%
236,2.75,75%
237,3,75%
238,3,75%
239,4,75%
240,2.5,75%
241,3.75,75%
242,4,75%
243,4,75%
244,4,75%
245,1.5,100%
246,3,75%
247,4,75%
248,3.25,77%
249,1.5,100%
250,2.75,70%
251,2.75,70%
