,product_id,category,sub_category,price,stock_quantity
0,0_1421,Vêtements,T-shirts,19.99,39
1,0_1368,Vêtements,T-shirts,5.13,76
2,0_731,Vêtements,T-shirts,17.99,2
3,1_587,Accessoires,Sacs à main,4.99,55
4,0_1507,Vêtements,T-shirts,3.99,81
5,0_1163,Vêtements,T-shirts,9.99,99
6,1_463,Accessoires,Sacs à main,36.99,65
7,0_2157,Vêtements,T-shirts,34.99,17
8,0_1915,Vêtements,T-shirts,16.99,1
9,0_389,Vêtements,T-shirts,18.99,4
10,2_228,Montres,Montres connectées,225.17,55
11,1_178,Accessoires,Sacs à main,51.92,36
12,1_143,Accessoires,Sacs à main,9.99,62
13,1_314,Accessoires,Sacs à main,9.0,88
14,0_1938,Vêtements,T-shirts,1.58,13
15,0_1232,Vêtements,T-shirts,26.65,48
16,0_2254,Vêtements,T-shirts,9.2,56
17,0_1713,Vêtements,T-shirts,13.99,67
18,0_835,Vêtements,T-shirts,6.99,84
19,0_1389,Vêtements,T-shirts,20.99,49
20,0_853,Vêtements,T-shirts,9.99,54
21,0_2131,Vêtements,T-shirts,8.99,32
22,1_259,Accessoires,Sacs à main,10.99,23
23,0_1070,Vêtements,T-shirts,4.38,56
24,1_504,Accessoires,Sacs à main,13.79,58
25,1_370,Accessoires,Sacs à main,13.11,53
26,1_716,Accessoires,Sacs à main,7.85,21
27,0_1505,Vêtements,T-shirts,14.99,18
28,0_2293,Vêtements,T-shirts,4.99,27
29,0_431,Vêtements,T-shirts,32.99,92
30,0_435,Vêtements,T-shirts,3.99,56
31,0_2120,Vêtements,T-shirts,26.97,91
32,1_532,Accessoires,Sacs à main,11.32,51
33,0_1795,Vêtements,T-shirts,17.99,36
34,0_668,Vêtements,T-shirts,2.51,42
35,0_1166,Vêtements,T-shirts,18.45,85
36,1_638,Accessoires,Sacs à main,30.92,57
37,1_549,Accessoires,Sacs à main,33.99,45
38,2_100,Montres,Montres connectées,72.11,60
39,0_97,Vêtements,T-shirts,11.99,56
40,0_2061,Vêtements,T-shirts,9.99,5
41,0_1619,Vêtements,T-shirts,4.99,15
42,1_707,Accessoires,Sacs à main,6.99,63
43,1_457,Accessoires,Sacs à main,22.99,82
44,0_1317,Vêtements,T-shirts,4.99,32
45,1_251,Accessoires,Sacs à main,15.99,34
46,0_1321,Vêtements,T-shirts,15.99,63
47,0_1629,Vêtements,T-shirts,40.99,91
48,1_124,Accessoires,Sacs à main,44.71,87
49,1_48,Accessoires,Sacs à main,47.22,34
